Province/City ,District ,Representative ,,Party ,Term ,Bloc 
,3rd, ,Erineo Maliksi ,Liberal ,1,Majority 
,5th, ,Roy Loyola ,Liberal ,1,Majority 
,6th, ,Antonio Ferrer ,NUP ,1,Majority 
,7th, ,Crispin Remulla ,Nacionalista/Magdalo ,3,Majority 
Cebu ,1st, ,Eduardo Gullas ,Nacionalista/Alayon ,3,Majority 
,2nd, ,Pablo P. Garcia ,NUP ,2,Majority 
,3rd, ,Pablo John Garcia ,NUP ,2,Majority 
,4th, ,Benhur Salimbangon ,NUP ,1,Majority 
,5th, ,Ramon Durano VI ,NPC ,3,Majority 
,6th, ,Gabriel Luis Quisumbing ,Liberal ,1,Majority 
Cebu City ,1st, ,Rachel del Mar ,Liberal ,1,Majority 
,2nd, ,Tomas Osmeña ,Liberal ,1,Majority 
Compostela Valley ,1st, ,Maria Carmen Zamora ,Liberal1,1,Majority 
,2nd, ,Rommel Amatong ,Lakas ,2,Majority 
Cotabato (North) ,1st, ,Jesus Sacdalan ,Liberal ,1,Majority 
,2nd, ,Nancy Catamco ,Liberal ,1,Majority 
Dasmariñas City ,Lone , ,"Elpidio Barzaga, Jr. ",NUP ,2,Majority 
Davao City ,1st, ,Karlo Nograles ,NUP ,1,Majority 
,2nd, ,Mylene Garcia-Albano ,Liberal1,1,Majority 
,3rd, ,Isidro Ungab ,Liberal/Hugpong ,2,Majority 
Davao del Norte ,1st, ,Antonio Rafael del Rosario ,Liberal ,1,Majority 
,2nd, ,"Antonio Lagdameo, Jr. ",NUP ,2,Majority 
Davao del Sur ,1st, ,Marc Douglas Cagas IV ,Nacionalista ,2,Minority 
,2nd, ,Franklin Bautista ,Liberal ,2,Majority 
Davao Oriental ,1st, ,Nelson Dayanghirang ,Nacionalista ,2,Majority 
,2nd, ,Thelma Almario ,Lakas ,2,Majority 
Dinagat Islands6,Lone , ,"Ruben Ecleo, Jr. (until May 31, 2012)7",Lakas ,1,Majority 
Eastern Samar ,Lone , ,Ben Evardone ,Liberal1,1,Majority 
Guimaras ,Lone , ,Joaquin Carlos Rahman Nava ,Liberal1,2,Majority 
Ifugao ,Lone , ,"Teodoro Baguilat, Jr. ",Liberal ,1,Majority 
Iligan City ,Lone , ,"Vicente Belmonte, Jr. ",Liberal ,2,Majority 
Ilocos Norte ,1st, ,Rodolfo Fariñas ,Nacionalista ,1,Majority 
,2nd, ,Imelda Marcos ,KBL/Nacionalista ,1,Majority 
Ilocos Sur ,1st, ,Ronald Singson,Lakas-Kampi ,2,Majority 
,1st, ,Ryan Singson,Nacionalista/Biled ,0,Majority 
,2nd, ,"Eric Singson, Jr. ",Liberal1,1,Majority 
Iloilo ,1st, ,Janette Garin ,Liberal ,3,Majority 
,2nd, ,"Augusto Syjuco, Jr. ",UNA ,1,Minority 
,3rd, ,"Arthur Defensor, Jr. ",Liberal ,1,Majority 
,4th, ,Ferjenel Biron ,UNA ,3,Majority 
,5th, ,"Niel Tupas, Jr. ",Liberal ,2,Majority 
Iloilo City ,Lone , ,Jerry Treñas ,Liberal ,1,Majority 
Isabela ,1st, ,"Rodolfo Albano, Jr. ",NPC ,1,Minority 
,2nd, ,Anna Cristina Go ,Nacionalista ,1,Majority 
,3rd, ,Napoleon Dy ,NPC ,1,Majority 
,4th, ,Giorgidi Aggabao ,NPC ,2,Majority 
Kalinga ,Lone , ,Manuel Agyao ,Liberal ,2,Majority 
La Union ,1st, ,Victor Francisco Ortega ,Lakas ,2,Majority 
,2nd, ,Eufranio Eriguel ,NPC ,1,Majority 
Laguna ,1st, ,Danilo Fernandez ,Liberal ,2,Majority 
,2nd, ,Timmy Chipeco ,Liberal ,3,Majority 
,3rd, ,Evita Arago ,Liberal ,2,Majority 
,4th, ,Edgar San Luis ,NPC/Liberal ,2,Majority 
Lanao del Norte ,1st, ,Imelda Dimaporo ,NPC ,1,Minority 
,2nd, ,Fatima Aliah Dimaporo ,NPC ,1,Minority 
Lanao del Sur ,1st, ,Mohammed Hussein Pacasum Pangandaman ,Independent ,1,Minority 
,2nd, ,Pangalian Balindong ,Liberal ,2,Majority 
Lapu-Lapu City ,Lone , ,Arturo Radaza ,Lakas ,1,Minority 
Las Piñas ,Lone , ,Mark Villar ,Nacionalista ,1,Majority 
Leyte ,1st, ,Ferdinand Martin Romualdez ,Lakas ,2,Minority 
,2nd, ,Sergio Apostol ,Liberal1,1,Majority 
,3rd, ,"Andres Salvacion, Jr. ",Liberal1,2,Majority 
,4th, ,Lucy Torres ,Liberal ,1,Majority 
,5th, ,Jose Carlos Cari ,Liberal1,1,Majority 
Maguindanao ,1st, ,Bai Sandra Sema ,Liberal ,1,Majority 
,2nd, ,Simeon Datumanong ,Lakas ,3,Minority 
Makati ,1st, ,Monique Lagdameo ,UNA ,1,Majority 
,2nd, ,Abigail Binay ,PDP-LABAN ,2,Majority 
Malabon ,Lone , ,Josephine Lacson-Noel ,NPC ,2,Majority 
Mandaluyong ,Lone , ,"Neptali M. Gonzales, Jr. ",Liberal ,2,Majority 
Manila ,1st, ,Benjamin Asilo ,Liberal/KKK ,2,Majority 
,2nd, ,Carlo Lopez ,Liberal/KKK ,1,Majority 
,3rd, ,Zenaida Angping ,NPC ,2,Majority 
,4th, ,Trisha Bonoan-David ,NUP ,2,Majority 
,5th, ,Amado Bagatsing ,KABAKA ,2,Majority 
,6th, ,Rosenda Ocampo ,Liberal/KKK ,1,Majority 
Marikina ,1st, ,Marcelino Teodoro ,Liberal1,2,Majority 
,2nd, ,Miro Quimbo ,Liberal ,1,Majority 
Marinduque ,Lone , ,Lord Allan Jay Velasco ,NUP ,1,Majority 
Masbate ,1st, ,"Narciso Bravo, Jr. ",NUP ,3,Majority 
,2nd, ,Antonio Kho ,Lakas ,2,Majority 
,3rd, ,Scott Davies Lanete ,NPC ,1,Majority 
Misamis Occidental ,1st, ,Jorge Almonte ,Liberal ,1,Majority 
,2nd, ,Loreto Ocampos ,Liberal ,1,Majority 
Misamis Oriental ,1st, ,Peter Unabia ,Liberal ,1,Majority 
,2nd, ,Yevgeny Vincente Emano ,Nacionalista ,2,Majority 
Mountain Province ,Lone , ,Maximo Dalog ,Liberal1,1,Majority 
Muntinlupa ,Lone , ,Rodolfo Biazon ,Liberal ,1,Majority 
Navotas ,Lone , ,Toby Tiangco ,UNA/Navoteño ,1,Independent 
Negros Occidental ,1st, ,Jules Ledesma ,NPC ,2,Majority 
,2nd, ,Alfredo Marañon III ,NUP ,3,Majority 
,3rd, ,Alfredo Benitez ,Liberal ,1,Majority 
,4th, ,Jeffrey Ferrer ,Independent ,2,Majority 
,5th, ,"Iggy Arroyo (until January 26, 2012)10",Lakas-Kampi ,3,Minority 
,, ,"Alejandro Mirasol (since June 4, 2012)11",Liberal ,0,Majority 
,6th, ,Mercedes Alvarez ,Liberal ,1,Majority 
Negros Oriental ,1st, ,Jocelyn linkaichong ,Liberal ,2,Majority 
,2nd, ,George Arnaiz ,NPC ,2,Majority 
,3rd, ,Pryde Henry Teves ,NPC ,2,Majority 
Northern Samar ,1st, ,Raul Daza ,Liberal ,1,Majority 
,2nd, ,Emil Ong ,NUP ,2,Majority 
Nueva Ecija ,1st, ,Josefina Joson ,NPC/BALANE ,1,Majority 
,2nd, ,Joseph Gilbert Violago ,Liberal1,2,Majority 
,3rd, ,Czarina Umali ,Liberal ,2,Majority 
,4th, ,Rodolfo Antonino ,NUP ,3,Majority 
Nueva Vizcaya ,Lone , ,Carlos M. Padilla ,Nacionalista/Abante ,2,Minority 
Occidental Mindoro ,Lone , ,Ma. Amelita Villarosa ,Lakas ,3,Majority 
Oriental Mindoro ,1st, ,Rodolfo Valencia ,Liberal1,3,Majority 
,2nd, ,Reynaldo Umali ,Liberal ,1,Majority 
Palawan ,1st, ,Antonio C. Alvarez ,NUP ,3,Majority 
,2nd, ,Victorino Dennis Socrates ,NUP ,1,Majority 
Pampanga ,1st, ,Carmelo Lazatin ,Lakas ,2,Minority 
,2nd, ,Gloria Macapagal-Arroyo ,Lakas ,1,Minority 
,3rd, ,"Aurelio Gonzales, Jr. ",NPC ,2,Majority 
,4th, ,Anna York Bondoc ,Nacionalista ,3,Majority 
Pangasinan ,1st, ,Jesus Celeste ,NPC ,1,Majority 
,2nd, ,Leopoldo Bataoil ,NPC ,1,Majority 
,3rd, ,Maria Rachel Arenas ,Liberal ,2,Majority 
,4th, ,Gina de Venecia ,NPC ,1,Majority 
,5th, ,Carmen Cojuangco ,NPC ,1,Majority 
,6th, ,Marlyn Aggabas ,NPC ,1,Majority 
Parañaque ,1st, ,Edwin Olivarez ,Liberal ,1,Majority 
,2nd, ,Roilo Golez ,Liberal ,3,Majority 
Pasay ,Lone , ,Imelda Calixto-Rubiano ,Liberal ,1,Majority 
Pasig ,Lone , ,Roman Romulo ,Liberal ,2,Majority 
Quezon ,1st, ,Wilfrido Mark Enverga ,NPC ,2,Majority 
,2nd, ,Irvin Alcalá ,Liberal ,1,Majority 
,3rd, ,Danilo Suarez ,Lakas ,3,Minority 
,4th, ,Lorenzo Tañada III ,Liberal ,3,Majority 
Quezon City ,1st, ,Vincent Crisologo ,UNA ,3,Majority 
,2nd, ,Winston Castelo ,Liberal ,1,Majority 
,3rd, ,"Jorge Banal, Jr. ",Liberal ,1,Majority 
,4th, ,"Feliciano Belmonte, Jr. ",Liberal ,1,Majority 
Quirino ,Lone , ,Dakila Carlo Cua ,Liberal ,1,Majority 
Rizal ,1st, ,Joel Duavit ,NPC ,1,Majority 
,2nd, ,"Isidro Rodriguez, Jr. ",NPC ,1,Majority 
Romblon ,Lone , ,Eleandro Jesus Madrona ,Nacionalista[2],2,Majority 
Samar ,1st, ,Mel Senen Sarmiento ,Liberal1,1,Majority 
,2nd, ,Milagrosa Tan ,NPC ,1,Majority 
San Jose del Monte ,Lone , ,Arthur Robes ,Liberal1,2,Majority 
San Juan ,Lone , ,JV Ejercito ,PMP/Magdiwang ,1,Majority 
Sarangani ,Lone , ,Manny Pacquiao ,UNA/PCM ,1,Majority 
Siquijor ,Lone , ,Orlando Fua ,Lakas ,2,Minority 
Sorsogon ,1st, ,"Salvador Escudero III (until August 13, 2012)12",Liberal[3],2,Majority 
,2nd, ,"Deogracias Ramos, Jr. ",Liberal ,1,Majority 
South Cotabato ,1st, ,"Pedro Acharon, Jr. ",NPC ,1,Majority 
,2nd, ,Daisy Fuentes ,NPC ,1,Majority 
Southern Leyte ,Lone , ,Roger Mercado ,NUP ,3,Majority 
Sultan Kudarat ,1st, ,Raden Sakaluran ,Independent ,1,Majority 
,2nd, ,Arnulfo Go ,NUP ,2,Majority 
Sulu ,1st, ,Tupay Loong ,NUP ,1,Majority 
,2nd, ,Nur-Ana Sahidulla ,NPC ,1,Majority 
Surigao del Norte ,1st, ,Francisco Matugas ,Liberal ,2,Majority 
,2nd, ,"Guillermo Romarate, Jr. ",Liberal ,2,Majority 
Surigao del Sur ,1st, ,Philip Pichay ,Lakas ,2,Minority 
,2nd, ,Florencio Garay ,Liberal ,2,Majority 
Taguig–Pateros ,1st, ,Arnel Cerafica ,Liberal/KDT ,1,Majority 
Taguig ,2nd, ,Sigfrido Tiñga ,Liberal/KDT ,1,Majority 
Tarlac ,1st, ,Enrique Cojuangco ,NPC ,1,Majority 
,2nd, ,Susan Yap-Sulit ,NPC ,1,Majority 
,3rd, ,Jeci Lapus ,NUP ,2,Majority 
Tawi-Tawi ,Lone , ,Nur Jaafar ,NPC ,3,Majority 
Valenzuela ,1st, ,Rexlon Gatchalian ,NPC ,2,Majority 
,2nd, ,Magtanggol Gunigundo ,Lakas ,2,Majority 
Zambales ,1st, ,Maria Milagros Magsaysay ,UNA ,3,Majority 
,2nd, ,Antonio M. Diaz,LM ,3,Majority 
,, ,Hermogenes Omar Ebdane III,LM/Sulong Zambales ,0,Majority 
Zamboanga City ,1st, ,Maria Isabelle Climaco Salazar ,Liberal ,2,Majority 
,2nd, ,Erico Basilio Fabian ,Nacionalista ,3,Majority 
Zamboanga del Norte ,1st, ,Seth Jalosjos ,Lakas ,1,Majority 
,2nd, ,Rosendo Labadlabad ,Liberal ,2,Majority 
,3rd, ,Cesar Jalosjos ,Lakas ,3,Majority 
Zamboanga del Sur ,1st, ,Victor Yu ,NPC ,2,Majority 
,2nd, ,Aurora Cerilles ,NPC ,1,Majority 
Zamboanga Sibugay ,1st, ,Jonathan Yambao ,Nacionalista ,1,Majority 
,2nd, ,"Romeo Jalosjos, Jr. ",Nacionalista ,1,Majority 
