"Province/City ","District ","Representative ","","Party ","Term ","Bloc "
"","4th "," ","Ferjenel Biron ","Nacionalista ","1 ","Majority "
"","5th "," ","Raul Tupas ","Nacionalista ","1 ","Majority "
"Iloilo City ","Lone "," ","Jerry Treñas[13] ","NUP ","3 ","Majority "
"Isabela ","1st "," ","Rodolfo Albano III[11] ","PDP-Laban ","2 ","Majority "
"","2nd "," ","Ana Cristina Go ","Nacionalista ","3 ","Majority "
"","3rd "," ","Napoleon Dy ","NPC ","3 ","Majority "
"","4th "," ","Maria Lourdes Aggabao ","NPC ","1 ","Majority "
"Kalinga ","Lone "," ","Allen Jesse Mangaoang ","Nacionalista ","1 ","Majority "
"La Union ","1st "," ","Pablo Ortega ","NPC ","1 ","Majority "
"","2nd "," ","Sandra Eriguel[15] ","PDP-Laban ","1 ","Majority "
"Laguna ","1st "," ","Arlene Arcillas-Nazareno ","PDP-Laban ","1 ","Minority "
"","2nd "," ","Joaquin Chipeco Jr. ","Nacionalista ","2 ","Majority "
"","3rd "," ","Sol Aragones ","Nacionalista ","2 ","Majority "
"","4th "," ","Benjamin Agarao Jr. ","PDP-Laban ","2 ","Majority "
"Lanao del Norte ","1st "," ","Mohamad Khalid Dimaporo[12] ","PDP-Laban ","1 ","Majority "
"","2nd "," ","Abdullah Dimaporo ","NPC ","2 ","Majority "
"Lanao del Sur ","1st "," ","Ansaruddin Adiong ","Nacionalista ","2 ","Majority "
"","2nd "," ","Mauyag Papandayan Jr. ","PDP-Laban ","1 ","Majority "
"Lapu-Lapu City ","Lone "," ","Aileen Radaza ","PDP-Laban[14] ","2 ","Majority "
"Las Piñas ","Lone "," ","Mark Villar2 ","Nacionalista ","3 ","Majority "
"Leyte ","1st "," ","Yedda Romualdez ","Lakas ","1 ","Majority "
"","2nd "," ","Henry Ong ","PDP-Laban ","1 ","Majority "
"","3rd "," ","Vicente Veloso ","NUP ","1 ","Majority "
"","4th "," ","Lucy Torres-Gomez[13] ","PDP-Laban ","3 ","Majority "
"","5th "," ","Jose Carlos Cari ","PFP ","3 ","Majority "
"Maguindanao ","1st "," ","Bai Sandra Sema ","PDP-Laban ","3 ","Majority "
"","2nd "," ","Zajid Mangudadatu[13] ","PDP-Laban ","2 ","Majority "
"Makati ","1st "," ","Monsour Del Rosario ","PDP-Laban ","1 ","Majority "
"","2nd "," ","Luis Campos Jr. ","NPC ","1 ","Minority "
"Malabon ","Lone "," ","Federico Sandoval II[12] ","PDP-Laban ","1 ","Majority "
"Mandaluyong ","Lone "," ","Alexandria Gonzales[13] ","PDP-Laban ","1 ","Majority "
"Manila ","1st "," ","Manuel Luis Lopez ","NPC ","1 ","Majority "
"","2nd "," ","Carlo Lopez ","PDP-Laban ","3 ","Majority "
"","3rd "," ","Yul Servo ","PDP-Laban ","1 ","Majority "
"","4th "," ","Edward Maceda ","PMP ","1 ","Majority "
"","5th ","  ","Cristal Bagatsing ","KABAKA ","1 ","Majority "
"","6th "," ","Rosenda Ann Ocampo ","PDP-Laban/KKK ","3 ","Majority "
"Marikina ","1st "," ","Bayani Fernando ","NPC ","1 ","Majority "
"","2nd "," ","Miro Quimbo ","Liberal ","3 ","Independent minority "
"Marinduque ","Lone "," ","Lord Allan Jay Velasco ","PDP-Laban ","1 ","Majority "
"Masbate ","1st "," ","Maria Vida Espinosa-Bravo ","NUP ","2 ","Majority "
"","2nd "," ","Elisa Olga Kho ","PDP-Laban ","2 ","Majority "
"","3rd "," ","Scott Davies Lanete ","NPC ","3 ","Majority "
"Misamis Occidental ","1st "," ","Jorge Almonte ","Nacionalista ","3 ","Majority "
"","2nd "," ","Henry Oaminal ","Nacionalista ","2 ","Majority "
"Misamis Oriental ","1st "," ","Peter Unabia[12] ","PDP-Laban ","3 ","Majority "
"","2nd "," ","Juliette Uy ","NUP ","2 ","Majority "
"Mountain Province ","Lone "," ","Maximo Dalog4 ","Liberal ","3 ","Majority "
"Muntinlupa ","Lone "," ","Ruffy Biazon ","PDP-Laban ","1 ","Majority "
"Navotas ","Lone "," ","Toby Tiangco ","Partido Navoteño ","3 ","Independent "
"Negros Occidental ","1st "," ","Melecio Yap ","NPC ","1 ","Majority "
"","2nd "," ","Leo Rafael Cueva ","NUP/UNegA ","2 ","Majority "
"","3rd "," ","Alfredo Benitez[16] ","PDP-Laban ","3 ","Majority "
"","4th "," ","Juliet Marie Ferrer ","NUP/UNegA ","1 ","Majority "
"","5th "," ","Alejandro Mirasol ","Lakas ","3 ","Majority "
"","6th "," ","Mercedes Alvarez ","NPC ","3 ","Majority "
"Negros Oriental ","1st "," ","Jocelyn Limkaichong ","Liberal ","1 ","Independent minority "
"","2nd "," ","Manuel Sagarbarria ","NPC ","1 ","Majority "
"","3rd "," ","Arnulfo Teves[13] ","PDP-Laban ","1 ","Majority "
"Northern Samar ","1st "," ","Raul Daza ","Liberal ","3 ","Independent minority "
"","2nd "," ","Edwin Ongchuan ","NUP ","1 ","Majority "
"Nueva Ecija ","1st "," ","Estrelita Suansing[12] ","PDP-Laban ","2 ","Majority "
"","2nd "," ","Micaela Violago ","NUP ","1 ","Majority "
"","3rd "," ","Rosanna Vergara ","LDP ","1 ","Majority "
"","4th "," ","Magnolia Antonino-Nadres ","NUP ","2 ","Majority "
"Nueva Vizcaya ","Lone "," ","Luisa Lloren Cuaresma ","NUP ","1 ","Majority "
"Occidental Mindoro ","Lone "," ","Josephine Ramirez-Sato ","Liberal ","2 ","Independent minority "
"Oriental Mindoro ","1st "," ","Paulino Salvador Leachon ","PDP-Laban ","2 ","Majority "
"","2nd "," ","Reynaldo Umali ","PFP ","3 ","Majority "
"Palawan ","1st "," ","Franz Alvarez ","NUP/PPP ","2 ","Majority "
"","2nd "," ","Frederick Abueg ","PDP-Laban/PPP ","2 ","Majority "
"","3rd "," ","Gil Acosta ","NPC/PPP ","1 ","Majority "
"Pampanga ","1st "," ","Carmelo Lazatin II ","PDP-Laban ","1 ","Majority "
"","2nd "," ","Gloria Macapagal-Arroyo ","PDP-Laban ","3 ","Majority "
"","3rd "," ","Aurelio Gonzales Jr. ","PDP-Laban ","1 ","Majority "
"","4th "," ","Juan Pablo Bondoc ","PDP-Laban ","2 ","Majority "
"Pangasinan ","1st "," ","Jesus Celeste ","PDP-Laban ","3 ","Majority "
"","2nd "," ","Leopoldo Bataoil ","NUP ","3 ","Majority "
"","3rd "," ","Rosemarie Arenas[10] ","PDP-Laban ","2 ","Majority "
"","4th "," ","Christopher De Venecia ","Lakas ","1 ","Majority "
"","5th "," ","Amado Espino Jr. ","PDP-Laban ","1 ","Majority "
"","6th "," ","Marlyn Primicias-Agabas ","NPC ","3 ","Majority "
"Parañaque ","1st "," ","Eric Olivarez ","PDP-Laban ","2 ","Majority "
"","2nd "," ","Gustavo Tambunting ","PDP-Laban ","2 ","Majority "
"Pasay ","Lone "," ","Imelda Calixto-Rubiano ","PDP-Laban ","3 ","Majority "
"Pasig ","Lone "," ","Richard Eusebio ","Nacionalista ","1 ","Minority "
"Quezon ","1st "," ","Trina Enverga ","NPC ","1 ","Majority "
"","2nd "," ","Vicente Alcala ","PDP-Laban ","2 ","Majority "
"","3rd "," ","Danilo Suarez ","Lakas ","1 ","Minority "
"","4th "," ","Angelina Tan ","NPC ","2 ","Majority "
"Quezon City ","1st "," ","Vincent Crisologo[12] ","PDP-Laban ","1 ","Majority "
"","2nd ","  ","Winston Castelo ","Serbisyo sa Bayan Party ","3 ","Majority "
"","3rd ","  ","Jorge Banal ","Serbisyo sa Bayan Party ","3 ","Independent minority "
"","4th "," ","Feliciano Belmonte Jr. ","Liberal ","3 ","Majority "
"","5th "," ","Alfred Vargas[11] ","PDP-Laban ","2 ","Majority "
"","6th "," ","Jose Christopher Belmonte ","Liberal ","2 ","Independent minority "
"Quirino ","Lone "," ","Dakila Carlo Cua ","PDP-Laban ","3 ","Majority "
"Rizal ","1st "," ","Michael John Duavit ","NPC ","1 ","Majority "
"","2nd "," ","Isidro Rodriguez Jr. ","NPC ","2 ","Majority "
"Romblon ","Lone "," ","Emmanuel Madrona ","Nacionalista ","1 ","Majority "
"Samar ","1st "," ","Edgar Sarmiento ","Liberal ","1 ","Majority "
"","2nd "," ","Milagrosa Tan ","PDP-Laban ","2 ","Majority "
"San Jose del Monte ","Lone "," ","Florida Robes ","PDP-Laban ","1 ","Majority "
"San Juan ","Lone "," ","Ronaldo Zamora[12] ","PDP-Laban ","2 ","Majority "
"Sarangani ","Lone "," ","Rogelio Pacquiao[12] ","PDP-Laban ","1 ","Majority "
"Siquijor ","Lone "," ","Ramon Vicente Rocamora ","PDP-Laban ","1 ","Majority "
"Sorsogon ","1st "," ","Evelina Escudero ","NPC ","2 ","Majority "
"","2nd "," ","Deogracias Ramos Jr.[13] ","PDP-Laban ","3 ","Majority "
"South Cotabato ","1st "," ","Pedro Acharon Jr. ","NPC ","3 ","Majority "
"","2nd "," ","Ferdinand Hernandez ","PDP-Laban ","2 ","Majority "
"Southern Leyte ","Lone "," ","Roger Mercado ","PDP-Laban ","1 ","Majority "
"Sultan Kudarat ","1st "," ","Suharto Mangudadatu ","NUP ","1 ","Majority "
"","2nd "," ","Horacio Suansing Jr.[12] ","PDP-Laban ","1 ","Majority "
"Sulu ","1st "," ","Tupay Loong1 ","NUP ","1 "," "
"","2nd "," ","Abdulmunir Arbison ","Nacionalista ","2 ","Majority "
"Surigao del Norte ","1st "," ","Francisco Jose Matugas II ","PDP-Laban ","1 ","Minority "
"","2nd "," ","Robert Ace Barbers ","Nacionalista ","1 ","Majority "
"Surigao del Sur ","1st "," ","Prospero Pichay Jr. ","Lakas ","1 ","Majority "
"","2nd "," ","Johnny Pimentel ","PDP-Laban ","1 ","Majority "
"Taguig–Pateros ","1st "," ","Arnel Cerafica ","PDP-Laban ","3 ","Majority "
"Taguig ","2nd "," ","Pia Cayetano ","Nacionalista ","1 ","Majority "
"Tarlac ","1st "," ","Charlie Cojuangco ","NPC ","1 ","Majority "
"","2nd "," ","Victor Yap ","NPC ","1 ","Majority "
"","3rd "," ","Noel Villanueva ","NPC ","2 ","Majority "
"Tawi-Tawi ","Lone "," ","Ruby Sahali[12] ","PDP-Laban ","2 ","Majority "
"Valenzuela ","1st "," ","Weslie Gatchalian ","NPC ","1 ","Majority "
"","2nd "," ","Eric Martinez ","PDP-Laban ","1 ","Majority "
"Zambales ","1st "," ","Jeffrey Khonghun ","Nacionalista ","2 ","Majority "
"","2nd "," ","Cherry Deloso-Montalla ","Liberal ","2 ","Majority "
"Zamboanga City ","1st "," ","Celso Lobregat ","PDP-Laban ","2 ","Majority "
"","2nd "," ","Manuel Dalipe ","NPC ","1 ","Majority "
"Zamboanga del Norte ","1st "," ","Seth Frederick Jalosjos ","Nacionalista ","3 ","Majority "
"","2nd "," ","Glona Labadlabad[13] ","PDP-Laban ","1 ","Majority "
"","3rd "," ","Isagani Amatong ","Liberal ","2 ","Independent minority "
"Zamboanga del Sur ","1st "," ","Divina Grace Yu[11] ","PDP-Laban ","1 ","Majority "
"","2nd "," ","Aurora Enerio-Cerilles ","Nacionalista ","3 ","Majority "
"Zamboanga Sibugay ","1st "," ","Wilter Palma II ","PDP-Laban ","1 ","Majority "
"","2nd "," ","Dulce Ann Hofer ","PDP-Laban ","2 ","Majority "
