Province/City ,District ,Representative ,,Party ,Term ,Bloc 
Lanao del Norte ,1st, ,Imelda Dimaporo ,NPC ,2,Independent minority 
,2nd, ,Abdullah Dimaporo ,NPC ,1,Independent minority 
Lanao del Sur ,1st, ,Ansaruddin Alonto Adiong ,Liberal ,1,Majority 
,2nd, ,Pangalian Balindong ,Liberal ,3,Majority 
Lapu-Lapu City ,Lone , ,Aileen Radaza ,Lakas ,1,Majority 
Las Piñas ,Lone , ,Mark Villar ,Nacionalista ,2,Majority 
Leyte ,1st, ,Martin Romualdez ,Lakas ,3,Independent minority 
,2nd, ,Sergio Apostol ,Liberal ,2,Majority 
,3rd, ,Andres Salvacion ,Liberal ,3,Majority 
,4th, ,Lucy Torres-Gomez ,Liberal ,2,Majority 
,5th, ,Jose Carlos Cari ,Liberal ,2,Majority 
Maguindanao ,1st, ,Bai Sandra Sema ,Liberal ,2,Majority 
,2nd, ,Zajid Mangudadatu ,Liberal ,1,Majority 
Makati ,1st, ,Monique Lagdameo ,UNA ,2,Majority 
,2nd, ,Abby Binay ,UNA ,3,Majority 
Malabon ,Lone , ,Josephine Lacson-Noel ,NPC ,3,Majority 
Mandaluyong ,Lone , ,Neptali Gonzales II ,Liberal ,3,Majority 
Manila ,1st, ,Benjamin Asilo ,Liberal ,3,Majority 
,2nd, ,Carlo Lopez ,Liberal/KABAKA ,2,Majority 
,3rd, ,Zenaida Naida Angping ,NPC ,3,Majority 
,4th, ,Trisha Bonoan-David ,Liberal ,3,Majority 
,5th, ,Amado Bagatsing ,NUP/KABAKA ,3,Majority 
,6th, ,Sandy Ocampo ,Liberal/KABAKA ,2,Majority 
Marikina ,1st, ,Marcelino Teodoro ,Liberal ,3,Majority 
,2nd, ,Miro Quimbo ,Liberal ,2,Majority 
Marinduque ,Lone , ,Regina Ongsiako Reyes4,Liberal ,1,Majority 
,, ,Lord Allan Jay Velasco4,NUP ,1,Majority 
Masbate ,1st, ,Maria Vida Espinosa-Bravo ,NUP ,1,Majority 
,2nd, ,Elisa Olga Kho ,Lakas ,1,Majority 
,3rd, ,Scott Davies Lanete ,NPC ,2,Majority 
Misamis Occidental ,1st, ,Jorge Almonte ,Liberal ,2,Majority 
,2nd, ,Henry Oaminal ,Nacionalista ,1,Majority 
Misamis Oriental ,1st, ,Peter Unabia ,Liberal ,2,Majority 
,2nd, ,Juliette Uy ,NUP ,1,Independent minority 
Mountain Province ,Lone , ,Maximo Dalog ,Liberal ,2,Majority 
Muntinlupa ,Lone , ,Rodolfo Biazon ,Liberal ,2,Majority 
Navotas ,Lone , ,Toby Tiangco ,UNA/Navoteño ,2,Independent 
Negros Occidental ,1st, ,Jules Ledesma ,NPC ,3,Majority 
,2nd, ,Leo Rafael Cueva ,NUP ,1,Independent minority 
,3rd, ,Alfredo Benitez ,Liberal ,2,Majority 
,4th, ,Jeffrey Ferrer ,NUP/UNegA ,3,Majority 
,5th, ,Alejandro Mirasol ,Liberal ,2,Majority 
,6th, ,Mercedes Alvarez ,NPC ,2,Majority 
Negros Oriental ,1st, ,Manuel Iway ,Liberal ,1,Majority 
,2nd, ,George Arnaiz ,NPC ,3,Majority 
,3rd, ,Pryde Henry Teves ,NPC ,3,Majority 
Northern Samar ,1st, ,Harlin Abayon3,Nacionalista ,1,Majority 
,, ,Raul Daza3,Liberal ,2,Majority 
,2nd, ,Emil Ong ,NUP ,3,Majority 
Nueva Ecija ,1st,  ,Estrellita Suansing ,Unang Sigaw ,1,Majority 
,2nd, ,Joseph Gilbert Violago ,Liberal ,3,Majority 
,3rd, ,Czarina Umali ,Liberal ,3,Majority 
,4th, ,Magnolia Antonino-Nadres ,NUP ,1,Majority 
Nueva Vizcaya ,Lone , ,Carlos M. Padilla ,Nacionalista ,3,Majority 
Occidental Mindoro ,Lone , ,Josephine Sato ,Liberal ,1,Majority 
Oriental Mindoro ,1st, ,Paulino Salvador Leachon ,Liberal ,1,Majority 
,2nd, ,Rey Umali ,Liberal ,2,Majority 
Palawan ,1st, ,Franz Joseph Alvarez ,NUP ,1,Majority 
,2nd, ,Frederick Abueg ,NUP/PPP ,1,Majority 
,3rd, ,Douglas Hagedorn ,NPC ,1,Majority 
Pampanga ,1st, ,Yeng Guiao ,NUP/Kambilan ,1,Majority 
,2nd, ,Gloria Macapagal-Arroyo ,Lakas ,2,Independent minority 
,3rd, ,Oscar Samson Rodriguez ,Liberal ,1,Majority 
,4th, ,Juan Pablo Bondoc ,Nacionalista ,1,Majority 
Pangasinan ,1st, ,Jesus Celeste ,NPC ,2,Majority 
,2nd, ,Leopoldo Bataoil ,NPC ,2,Majority 
,3rd, ,Rosemarie Arenas ,Liberal ,1,Majority 
,4th, ,Gina de Venecia ,NPC ,2,Majority 
,5th, ,Kimi Cojuangco ,NPC ,2,Majority 
,6th, ,Marlyn Primicias-Agabas ,NPC ,2,Majority 
Parañaque ,1st, ,Eric Olivarez ,Liberal ,1,Majority 
,2nd, ,Gus Tambunting ,UNA ,1,Majority 
Pasay ,Lone , ,Imelda Rubiano ,Liberal ,2,Majority 
Pasig ,Lone , ,Roman Romulo ,Liberal ,3,Majority 
Quezon ,1st, ,Wilfrido Mark Enverga ,NPC ,3,Majority 
,2nd, ,Vicente Alcala ,Liberal ,1,Majority 
,3rd, ,Aleta Suarez ,Lakas ,1,Independent minority 
,4th, ,Angelina Tan ,NPC ,1,Majority 
Quezon City ,1st, ,Francisco Boy Calalay ,Liberal ,1,Majority 
,2nd, ,Winston Castelo ,Liberal ,2,Majority 
,3rd, ,Bolet Banal ,Liberal ,2,Majority 
,4th, ,Feliciano Belmonte Jr. ,Liberal ,2,Majority 
,5th, ,Alfred Vargas ,Liberal ,1,Majority 
,6th, ,Kit Belmonte ,Liberal ,1,Majority 
Quirino ,Lone , ,Dakila Cua ,Liberal ,2,Majority 
Rizal ,1st, ,Joel Roy Duavit ,NPC ,2,Majority 
,2nd, ,Isidro Rodriguez Jr. ,NPC ,2,Majority 
Romblon ,Lone , ,Eleandro Jesus Madrona ,Nacionalista ,3,Majority 
Samar ,1st, ,Mel Senen Sarmiento5,Liberal ,2,Majority 
,2nd, ,Milagros Tan ,NPC ,2,Majority 
San Jose del Monte ,Lone , ,Arthur Robes ,Liberal ,3,Majority 
San Juan ,Lone , ,Ronaldo Zamora ,UNA/Magdiwang ,1,Minority 
Sarangani ,Lone , ,Manny Pacquiao ,UNA ,2,Majority 
Siquijor ,Lone , ,Marie Anne Pernes ,Liberal ,1,Majority 
Sorsogon ,1st, ,Evelina Escudero ,NPC ,1,Majority 
,2nd, ,Deogracias Ramos Jr. ,Liberal ,2,Majority 
South Cotabato ,1st, ,Pedro Acharon Jr. ,Liberal/AIM ,2,Majority 
,2nd, ,Ferdinand Hernandez ,NPC/AIM ,1,Majority 
Southern Leyte ,Lone , ,Damian Mercado ,NUP ,1,Majority 
Sultan Kudarat ,1st, ,Raden Sakaluran ,Independent ,2,Majority 
,2nd, ,Arnulfo Go ,NUP ,3,Majority 
Sulu ,1st, ,Tupay Loong ,NUP ,2,Majority 
,2nd, ,Maryam Arbison ,Liberal ,1,Majority 
Surigao del Norte ,1st, ,Francisco Matugas ,Liberal ,3,Majority 
,2nd, ,Guillermo Romarate Jr. ,Liberal ,3,Majority 
Surigao del Sur ,1st, ,Philip Pichay6,Lakas ,3,Independent minority 
,, ,Mary Elizabeth Ty-Delgado6,Liberal ,1,Majority 
,2nd, ,Florencio Garay ,Liberal ,3,Majority 
Taguig–Pateros ,1st, ,Arnel Cerafica ,Liberal ,2,Majority 
Taguig ,2nd, ,Lino Cayetano ,PDP-Laban ,1,Minority 
Tarlac ,1st, ,Enrique Cojuangco7,NPC ,2,Majority 
,2nd, ,Susan Yap ,NPC ,2,Majority 
,3rd, ,Noel Jesus Villanueva ,Nacionalista ,1,Majority 
Tawi-Tawi ,Lone , ,Ruby Sahali ,Liberal ,1,Majority 
Valenzuela ,1st, ,Sherwin Gatchalian ,NPC ,1,Majority 
,2nd, ,Magtanggol Gunigundo ,Lakas ,3,Majority 
Zambales ,1st, ,Jeffrey Khonghun ,NPC ,1,Majority 
,2nd, ,Cheryl Deloso-Montalla ,Liberal ,1,Majority 
Zamboanga City ,1st, ,Celso Lobregat ,LDP ,1,Majority 
,2nd, ,Lilia Macrohon-Nuño ,Nacionalista ,1,Majority 
Zamboanga del Norte ,1st, ,Seth Jalosjos ,Nacionalista ,2,Minority 
,2nd, ,Rosendo Labadlabad ,Liberal ,3,Majority 
,3rd, ,Isagani Amatong ,Liberal ,1,Majority 
Zamboanga del Sur ,1st, ,Victor Yu ,NUP ,3,Majority 
,2nd, ,Aurora Cerilles ,NUP ,2,Majority 
Zamboanga Sibugay ,1st, ,Belma Cabilao ,Nacionalista ,1,Majority 
,2nd, ,Dulce Ann Hofer ,Liberal ,1,Majority 
